#For example
#bin	name	om	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
1	ENSG00000111671_exon_1_1	12	-	6870934	6871034	6870934	6871034	1	6870934	6871034	0	ENSG00000111671_exon_1_1	cmpl	cmpl	0
2	ENSG00000111671_exon_1_2	12	-	6870984	6871084	6870984	6871084	1	6870984	6871084	0	ENSG00000111671_exon_1_2	cmpl	cmpl	0
3	ENSG00000111671_exon_1_3	12	-	6871034	6871134	6871034	6871134	1	6871034	6871134	0	ENSG00000111671_exon_1_3	cmpl	cmpl	0
4	ENSG00000111671_exon_1_4	12	-	6871084	6871184	6871084	6871184	1	6871084	6871184	0	ENSG00000111671_exon_1_4	cmpl	cmpl	0
5	ENSG00000111671_exon_1_5	12	-	6871134	6871234	6871134	6871234	1	6871134	6871234	0	ENSG00000111671_exon_1_5	cmpl	cmpl	0
6	ENSG00000111671_exon_1_6	12	-	6871184	6871284	6871184	6871284	1	6871184	6871284	0	ENSG00000111671_exon_1_6	cmpl	cmpl	0
7	ENSG00000111671_exon_1_7	12	-	6871234	6871334	6871234	6871334	1	6871234	6871334	0	ENSG00000111671_exon_1_7	cmpl	cmpl	0
8	ENSG00000111671_exon_2_1	12	-	6871592	6871692	6871592	6871692	1	6871592	6871692	0	ENSG00000111671_exon_2_1	cmpl	cmpl	0
9	ENSG00000111671_exon_2_2	12	-	6871642	6871742	6871642	6871742	1	6871642	6871742	0	ENSG00000111671_exon_2_2	cmpl	cmpl	0
10	ENSG00000111671_exon_2_3	12	-	6871692	6871792	6871692	6871792	1	6871692	6871792	0	ENSG00000111671_exon_2_3	cmpl	cmpl	0
11	ENSG00000111671_exon_2_4	12	-	6871742	6871842	6871742	6871842	1	6871742	6871842	0	ENSG00000111671_exon_2_4	cmpl	cmpl	0
12	ENSG00000111671_exon_2_5	12	-	6871792	6871892	6871792	6871892	1	6871792	6871892	0	ENSG00000111671_exon_2_5	cmpl	cmpl	0
13	ENSG00000111671_exon_2_6	12	-	6871842	6871942	6871842	6871942	1	6871842	6871942	0	ENSG00000111671_exon_2_6	cmpl	cmpl	0
14	ENSG00000111671_exon_2_7	12	-	6871892	6871992	6871892	6871992	1	6871892	6871992	0	ENSG00000111671_exon_2_7	cmpl	cmpl	0
15	ENSG00000111671_exon_2_8	12	-	6871942	6872042	6871942	6872042	1	6871942	6872042	0	ENSG00000111671_exon_2_8	cmpl	cmpl	0
16	ENSG00000111671_exon_2_9	12	-	6871992	6872092	6871992	6872092	1	6871992	6872092	0	ENSG00000111671_exon_2_9	cmpl	cmpl	0
17	ENSG00000111671_exon_2_10	12	-	6872042	6872142	6872042	6872142	1	6872042	6872142	0	ENSG00000111671_exon_2_10	cmpl	cmpl	0
